34,0
0,1
0,2
0,777
90,3
11,4
78,57
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
98,8
78,9
45,10
11,11
11,6
200,300
199,90
273,0
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
150,389
108,427
138,404
148,445
114,422
116,457
125,444
140,427
134,423
129,409
126,437
46,182
58,196
25,200
51,203
43,216
61,214
37,203
36,189
48,192
31,212
51,170
59,175
53,184
14,181
315,50
311,55
330,56
329,44
305,45
321,62
290,60
312,60
336,69
319,73
318,63
301,54
279,80
298,42
311,41
339,66
303,69
308,46
333,38
346,54
297,52
323,47
341,52
268,58
330,47
136,417
132,437
146,438
147,424
131,444
153,429
142,425
138,422
130,443
134,436
125,418
129,428
